Student_id,Unique_Solution_ID,LM_Difficulty_Matching,CTML_Principle,media_matching,time_interval_score,coherence_principle,segmenting_principle,balance,cohesiveness,MDIP,Rubric Average,Unique_PLP_Count,Total_Iterations_Appears,Times_Top_Scoring,Iterations_Appeared_In
6,0,2,3,3,1,2,4,3,3,4,2.89,24,8,50,"[1, 2, 7, 13, 14, 19, 20, 27]"
6,5,2,3,3,1,2,4,4,3,3,2.89,24,8,28,"[2, 8, 13, 15, 16, 18, 20, 27]"
6,6,3,3,2,1,2,4,4,3,3,2.89,8,2,10,"[11, 22]"
6,8,3,3,2,1,2,4,3,3,4,2.89,1,1,1,[30]
6,4,2,3,3,1,2,4,4,3,4,3.00,7,4,11,"[6, 13, 15, 16]"
6,7,3,3,2,1,2,4,4,3,4,3.00,5,1,15,[22]
7,0,2,3,3,1,2,4,4,3,3,2.89,66,21,82,"[1, 4, 5, 6, 7, 9, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 27, 28, 29, 30]"
7,1,2,3,3,1,2,4,3,3,4,2.89,59,22,74,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 15, 17, 18, 19, 20, 22, 23, 25, 26, 28, 29, 30]"
8,1,3,3,3,4,4,4,4,3,1,3.33,63,28,137,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30]"
8,5,4,3,3,4,3,4,4,3,1,3.33,22,14,96,"[1, 3, 6, 12, 13, 15, 16, 18, 21, 22, 24, 27, 28, 30]"
8,2,4,3,3,4,4,4,4,3,1,3.44,4,4,16,"[3, 9, 21, 24]"
8,0,3,4,4,4,3,4,4,3,1,3.44,17,13,56,"[1, 4, 11, 14, 15, 16, 17, 19, 20, 22, 23, 26, 30]"
8,6,4,3,3,4,3,4,4,4,1,3.44,1,1,4,[13]
8,4,3,3,4,4,4,4,4,3,1,3.44,12,12,44,"[4, 5, 7, 8, 10, 11, 16, 18, 20, 25, 26, 29]"
8,10,4,3,4,3,4,4,4,3,1,3.44,2,4,21,"[7, 8, 19, 25]"
8,9,4,3,4,4,3,4,4,3,1,3.44,7,7,42,"[7, 8, 18, 22, 24, 25, 29]"
8,7,3,4,4,4,3,4,4,4,1,3.56,2,2,20,"[14, 27]"
8,3,4,3,4,4,4,4,4,3,1,3.56,1,5,23,"[4, 7, 8, 18, 22]"
8,8,3,4,4,4,4,4,4,3,1,3.56,2,4,19,"[16, 20, 22, 29]"
9,3,3,4,4,4,3,4,4,4,1,3.56,7,5,27,"[2, 5, 8, 17, 30]"
9,2,3,4,4,4,4,4,4,3,1,3.56,39,24,224,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 28, 30]"
9,4,3,3,4,4,4,4,4,4,1,3.56,3,3,15,"[17, 23, 27]"
9,1,3,4,4,4,4,4,4,4,1,3.67,12,12,73,"[2, 6, 9, 14, 15, 19, 21, 23, 25, 26, 27, 28]"
9,0,4,4,4,4,4,4,4,3,1,3.67,4,4,27,"[1, 9, 16, 29]"
