,Student Profile id,Algorithm Time Limit,KP Length,LO Length,KP,solution,LP Total Time,LP Score,Algorithm Run Time,Max Time,Max time per session,kp
34,0,1,16,16,,"[90, 13, 93, 18, 3, 78, 32, 36, 39, 54, 83, 75, 51, 82, 68, 26]",7887,383,1.000096082687378,8000,2000,"[1, 11, 16, 13, 15, 9, 5, 4, 2, 7, 12, 8, 17, 18, 3, 19]"
35,0,1,10,10,,"[90, 39, 78, 3, 51, 75, 11, 80, 65, 29]",6371,256,1.000044822692871,8000,2000,"[1, 2, 9, 15, 17, 8, 11, 18, 14, 19]"
36,0,1,2,2,,"[42, 29]",3122,46,0.00016880035400390625,8000,2000,"[6, 19]"
37,0,1,13,13,,"[46, 67, 93, 86, 3, 14, 75, 11, 51, 80, 68, 88, 27]",7871,286,1.0000519752502441,8000,2000,"[6, 14, 16, 12, 15, 13, 8, 11, 17, 18, 3, 1, 19]"
38,0,1,9,9,,"[39, 72, 42, 65, 91, 3, 11, 51, 29]",5819,265,1.0001163482666016,8000,2000,"[2, 4, 6, 14, 16, 15, 11, 17, 19]"
39,0,1,10,10,,"[46, 32, 58, 36, 76, 39, 88, 11, 80, 29]",6466,255,1.0000948905944824,8000,2000,"[6, 5, 10, 4, 9, 2, 1, 11, 18, 19]"
40,0,1,2,2,,"[88, 29]",1822,46,7.486343383789062e-05,8000,2000,"[1, 19]"
41,0,1,3,3,,"[80, 68, 29]",2507,55,0.0004317760467529297,8000,2000,"[18, 3, 19]"
42,0,1,12,12,,"[13, 4, 82, 67, 75, 16, 91, 85, 77, 36, 41, 26]",7896,280,1.0000567436218262,8000,2000,"[11, 15, 18, 14, 8, 13, 16, 12, 9, 4, 6, 19]"
43,0,1,8,8,,"[82, 3, 85, 76, 32, 58, 75, 29]",5546,213,1.0000522136688232,8000,2000,"[18, 15, 12, 9, 5, 10, 8, 19]"
44,0,1,3,3,,"[39, 88, 29]",2107,79,0.00010418891906738281,8000,2000,"[2, 1, 19]"
45,0,1,15,15,,"[82, 13, 93, 86, 4, 64, 41, 39, 36, 58, 54, 14, 75, 51, 26]",7999,360,1.000053882598877,8000,2000,"[18, 11, 16, 12, 15, 14, 6, 2, 4, 10, 7, 13, 8, 17, 19]"
46,0,1,7,7,,"[80, 3, 51, 11, 88, 68, 29]",3939,183,0.4105699062347412,8000,2000,"[18, 15, 17, 11, 1, 3, 19]"
47,0,1,10,10,,"[82, 67, 54, 39, 76, 3, 16, 91, 11, 29]",6757,227,1.0000407695770264,8000,2000,"[18, 14, 7, 2, 9, 15, 13, 16, 11, 19]"
