,Student_id,Best_LP,Best_AS,LP_Time,Alg_time,Num_KP_Explored,Num_total_KP
0,0,"[19, 24, 49, 3, 37, 23, 33, 55, 59, 11, 8, 47, 32, 0, 41, 26, 58, 43, 20]",50.0,7927,3.688539505004883,8,
1,1,"[18, 29, 61, 5, 44, 55, 34, 50, 41, 65, 71, 7, 0, 21]",19.6,3999,0.47904157638549805,13,
2,2,"[20, 59, 49, 63, 28, 37, 60, 53, 0, 55, 6, 39, 50, 32, 44, 64, 10, 22]",26.5,5939,211.1472625732422,85,
3,3,"[19, 63, 53, 75, 66, 42, 33, 4, 25, 45, 59, 14, 3, 62, 30, 70, 10, 36, 55, 22]",28.4,11827,32.92839169502258,5,
4,4,"[15, 41, 37, 12, 63, 47, 57, 45, 53, 0, 33, 9, 68, 60, 56, 24, 22, 4, 30, 19]",20.0,16386.0,0.005663156509399414,0,
