,Student_id,Best_LP,Best_AS,LP_Time,Alg_time,Num_KP_Explored,Num_total_KP
0,0,"[19, 58, 24, 43, 23, 3, 26, 33, 47, 49, 36, 8, 55, 11, 41, 0, 59, 32, 54, 20]",51.0,7967,0.8727636337280273,1,
1,1,"[18, 29, 52, 55, 41, 60, 44, 7, 65, 50, 0, 71, 64, 21]",21.4,3917,21.991434335708618,446,
2,2,"[20, 28, 49, 26, 32, 37, 55, 39, 10, 60, 14, 44, 0, 64, 34, 59, 22]",27.6,5964,3617.6390566825867,3986,
3,3,"[19, 70, 30, 55, 25, 4, 33, 42, 59, 62, 45, 10, 66, 14, 53, 3, 75, 36, 63, 22]",28.4,11827,35.3559672832489,7,
4,4,"[15, 63, 24, 47, 22, 4, 30, 37, 53, 56, 41, 9, 60, 12, 45, 0, 68, 33, 57, 19]",20.0,16386.0,0.20043563842773438,0,
