,Student_id,Best_LP,Best_AS,LP_Time,Alg_time,Num_KP_Explored,Num_total_KP
0,0,"[19, 36, 33, 11, 58, 43, 54, 41, 47, 0, 32, 8, 59, 55, 49, 24, 23, 3, 26, 20]",51.0,7967,2.0156211853027344,4,500
1,1,"[18, 29, 61, 5, 44, 55, 34, 50, 41, 65, 71, 7, 0, 21]",19.6,3999,0.15753865242004395,13,500
2,2,"[20, 59, 49, 63, 28, 37, 60, 53, 0, 55, 6, 39, 50, 32, 44, 64, 10, 22]",26.5,5939,81.20586204528809,85,500
3,3,"[20, 45, 42, 14, 70, 55, 63, 53, 59, 3, 36, 10, 75, 66, 62, 30, 25, 4, 34, 22]",28.4,11670,12.065109491348267,5,500
4,4,"[15, 41, 37, 12, 63, 47, 57, 45, 53, 0, 33, 9, 68, 60, 56, 24, 22, 4, 30, 19]",20.0,16386.0,0.00223541259765625,0,500
